patent_id,compound_name,NR_phr,SBR_phr,BR_phr,NBR_phr,EPDM_phr,IIR_phr,FKM_phr,ENR_phr,CR_phr,carbon_black_phr,silica_phr,silane_coupling_phr,oil_phr,resin_phr,antioxidant_phr,wax_phr,sulfur_phr,primary_accelerator_phr,secondary_accelerator_phr,zinc_oxide_phr,stearic_acid_phr,accelerator_phr,primary_accelerator_raw,primary_accelerator_type,secondary_accelerator_raw,secondary_accelerator_type,antioxidant_raw,antioxidant_type,sulfur_type,cure_system_type,oil_raw,oil_type,is_oil_extended,silane_raw,silane_type,SBR_type,SBR_styrene_content_pct,SBR_vinyl_content_pct,SBR_grade,BR_cis_content_pct,BR_grade,NR_grade,elastomer_mooney_raw,CB_grade,CB_N2SA_m2g,CB_DBP_ml100g,CB_CTAB_m2g,silica_grade,silica_N2SA_m2g,silica_CTAB_m2g,mixer_type,mooney_viscosity,mooney_scorch_t5,ts2_min,Tc10_min,t90_min,Tc50_min,hardness_shore_A,M100_MPa,M300_MPa,tensile_strength_MPa,elongation_at_break_percent,tan_delta_0C,tan_delta_60C,abrasion_loss_mm3,rebound_60C_percent,mixing_temp_C,vulcanization_temp_C,vulcanization_time_min,mixing_stages,nonproductive_drop_temp_C,productive_drop_temp_C,qc_hard_issues,qc_soft_issues,qc_flags,qc_repaired
JP5658098B2,Example 2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,56.0,7.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Example 3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,58.0,7.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Example 4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,57.0,7.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Example 5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,59.0,6.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Example 6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,60.0,6.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Example 7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,61.0,5.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,50.0,9.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,52.0,8.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,54.0,8.0,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
JP5658098B2,Comparative Example 4,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1.0,0.5,1.5,0.0,2.0,2.0,1.5,Noceller NS,TBBS,Noceller D,DPG,Nocrack 6C,6PPD,soluble,CV,X140,TDAE,,Si69,TESPT,ESBR,23.5,,SBR1502,97.0,BR130B,,,Dia Black I,114.0,,,Ultrasil VN3,175.0,,Banbury,53.0,8.5,,,,,,,,,,,,,,150.0,170.0,20.0,2.0,150.0,60.0,,,,False
