target,r2_mean,mae_mean
M100_MPa,-0.10977770659016813,0.8555166559689912
M300_MPa,0.29526098656216265,2.9120558911669443
abrasion_loss_mm3,-0.0251167483276991,25.453285750617756
elongation_at_break_percent,0.11978303867400986,84.750077308826
hardness_shore_A,-0.33766439439700047,7.515893580894757
mooney_scorch_t5,-0.11711037580901473,5.404083388644869
mooney_viscosity,-0.17511633767287646,18.747976264821524
rebound_60C_percent,-0.7216357972056997,11.82009063575454
t90_min,-2.5357603116960172,12.414260227812278
tan_delta_0C,-0.09302134216103275,0.13271833255325385
tan_delta_60C,-0.30086885381352896,0.04535904315675809
tensile_strength_MPa,-0.3800433787227887,3.623705508866512
