target,split,model,r2_mean,r2_std,mae_mean,mae_std,n_mean
M100_MPa,patent,dummy,-0.1975908168884409,0.17045489169714456,1.0915170946530193,0.3600009529791212,223.0
M100_MPa,patent,hgb,-0.0768232515761836,0.6532580586013222,0.8514269745258465,0.2693409282053569,223.0
M100_MPa,patent,pls,-1.5428497774838257,1.2738919521680172,1.3284889444765025,0.282534482045037,223.0
M100_MPa,patent,rf,0.10077419818628722,0.18602793879169857,0.7908860352860572,0.21382047097418388,223.0
M100_MPa,patent,ridge,-0.41930997698307604,0.6941303149739789,0.9999222070746928,0.15740571901926717,223.0
M100_MPa,random,dummy,-0.0010409990445152228,0.001416453063827313,1.0444630316314423,0.061968108181095036,223.0
M100_MPa,random,hgb,0.7740892271088935,0.09951410936158926,0.380061147453411,0.05698895576177875,223.0
M100_MPa,random,pls,0.6175738877045797,0.09736242116226008,0.6230186450542207,0.023823794343891133,223.0
M100_MPa,random,rf,0.7867613782961148,0.0691415753108374,0.37658062316844837,0.04197071454585012,223.0
M100_MPa,random,ridge,0.6212172799456052,0.10202858711654264,0.6143823575589601,0.020660050285705757,223.0
M300_MPa,patent,dummy,-0.026668118313302003,0.03737184826067001,3.929868650286128,0.12539494826638453,303.4
M300_MPa,patent,hgb,0.23230813143428125,0.20371177187910103,3.0188270312045224,0.41698742571212527,303.4
M300_MPa,patent,pls,-0.17942085852434228,0.27063041391291687,3.779367417244959,0.4080891083360326,303.4
M300_MPa,patent,rf,0.39116274617123703,0.08905633018443528,2.793312849787401,0.28589584988420114,303.4
M300_MPa,patent,ridge,0.21688054819263938,0.11804886777471282,3.1555362913218454,0.31020425852304495,303.4
M300_MPa,random,dummy,-0.0024988765750233012,0.003303641011182899,3.9144415735859956,0.18932957613297421,303.4
M300_MPa,random,hgb,0.8734042431896393,0.011890047940362782,1.0790243855006647,0.04895347210328794,303.4
M300_MPa,random,pls,0.7318888365354368,0.02391313231856081,1.7568964909658713,0.07136815264514237,303.4
M300_MPa,random,rf,0.8696195948053973,0.013313614162984972,1.0981440866411465,0.06661342535005323,303.4
M300_MPa,random,ridge,0.7181942002473658,0.026161549514032517,1.802525142897625,0.11341289764554377,303.4
abrasion_loss_mm3,patent,dummy,-0.048870755608653706,0.06364057361465432,27.21552024657243,0.6210849068186675,97.0
abrasion_loss_mm3,patent,hgb,-0.024079776536711762,0.40051265672438097,25.348459398871235,4.063979900893819,97.0
abrasion_loss_mm3,patent,pls,-10.396094708607986,15.874136045531658,69.53949764927593,21.770073625190335,97.0
abrasion_loss_mm3,patent,rf,0.04645108498027768,0.26460276535078925,23.37564443392724,4.500527404080614,97.0
abrasion_loss_mm3,patent,ridge,-1.0792351810254277,0.9318781375879439,37.07430697986208,6.76242779667388,97.0
abrasion_loss_mm3,random,dummy,-0.0031815814911354766,0.004596885998235748,27.01678711871612,2.3480641780582614,97.0
abrasion_loss_mm3,random,hgb,0.5696710536809639,0.09164860560916811,14.571741313679809,1.8292968150737874,97.0
abrasion_loss_mm3,random,pls,0.11219531431305303,0.22965851597573125,21.80197367134015,2.338050455153597,97.0
abrasion_loss_mm3,random,rf,0.542261058309258,0.12342520811536241,14.707632122134584,2.0328337126498863,97.0
abrasion_loss_mm3,random,ridge,0.26623598407026383,0.16169179368265152,20.00772043544059,2.4592226120294676,97.0
elongation_at_break_percent,patent,dummy,-0.030334985755531195,0.01972912745265916,95.46707268096851,9.529259938216875,310.6
