target,repr,split,model,fold,n_test,r2,mae
M300_MPa,no_elast,random,rf,2,303,0.8571208330849557,1.121985805642883
M300_MPa,no_elast,random,rf,3,303,0.871984007966939,1.1205296714150665
M300_MPa,no_elast,random,rf,4,303,0.8608822338668891,1.0774806951528322
M300_MPa,no_elast,random,hgb,0,304,0.8524647588221267,1.1998391998114908
M300_MPa,no_elast,random,hgb,1,304,0.8715402666959302,1.1711343257516116
M300_MPa,no_elast,random,hgb,2,303,0.8447074024811578,1.1454647678318903
M300_MPa,no_elast,random,hgb,3,303,0.8649133146992515,1.1523709928838974
M300_MPa,no_elast,random,hgb,4,303,0.8559918027587432,1.0845904942653128
M300_MPa,no_elast,patent,ridge,0,304,0.05078931455335833,3.611343934691569
M300_MPa,no_elast,patent,ridge,1,304,0.2949750866749944,3.159519705724744
M300_MPa,no_elast,patent,ridge,2,303,0.1549844238268563,3.064595104651009
M300_MPa,no_elast,patent,ridge,3,303,0.2138258889164436,3.3475742051297988
M300_MPa,no_elast,patent,ridge,4,303,0.2364841719512768,3.4001723350122486
M300_MPa,no_elast,patent,rf,0,304,0.27058262396146837,3.08404358675364
M300_MPa,no_elast,patent,rf,1,304,0.15330042032666336,3.5345805322097767
M300_MPa,no_elast,patent,rf,2,303,0.49725808806206984,2.385080342176163
M300_MPa,no_elast,patent,rf,3,303,0.43446035059549915,2.648623092388789
M300_MPa,no_elast,patent,rf,4,303,0.26125993583020557,3.282683362593666
M300_MPa,no_elast,patent,hgb,0,304,-0.31109248163624637,3.8969446964880468
M300_MPa,no_elast,patent,hgb,1,304,0.08495589179669416,3.6931222929853353
M300_MPa,no_elast,patent,hgb,2,303,0.4377554649986899,2.545715805016717
M300_MPa,no_elast,patent,hgb,3,303,0.31383784195085074,2.679098338039289
M300_MPa,no_elast,patent,hgb,4,303,0.2113463330400034,3.0974201338986074
M300_MPa,polybert,random,ridge,0,304,0.6469793675131001,2.011897164398942
M300_MPa,polybert,random,ridge,1,304,0.7038859202400686,1.9952398118917238
M300_MPa,polybert,random,ridge,2,303,0.6884613797939082,1.905327026998898
M300_MPa,polybert,random,ridge,3,303,0.718916335003261,1.829949464155354
M300_MPa,polybert,random,ridge,4,303,0.6749248927354793,1.8785381707810973
M300_MPa,polybert,random,rf,0,304,0.8865579352316714,1.0761679009756193
M300_MPa,polybert,random,rf,1,304,0.8620600328683482,1.2628446325050997
M300_MPa,polybert,random,rf,2,303,0.849733327293317,1.1423536703258994
M300_MPa,polybert,random,rf,3,303,0.8785162351159074,1.0819327129586016
M300_MPa,polybert,random,rf,4,303,0.8805736090767888,1.0505270357252747
M300_MPa,polybert,random,hgb,0,304,0.9013765419478449,0.9991604006433138
M300_MPa,polybert,random,hgb,1,304,0.862334380244389,1.2101428252435855
M300_MPa,polybert,random,hgb,2,303,0.8421819305399812,1.1685817599665027
M300_MPa,polybert,random,hgb,3,303,0.8794042151459371,1.0743915884068236
M300_MPa,polybert,random,hgb,4,303,0.8827074492435453,0.9854561608875327
M300_MPa,polybert,patent,ridge,0,304,0.03159964532692272,3.6261586758711606
M300_MPa,polybert,patent,ridge,1,304,0.2844438288339275,3.10739027231428
M300_MPa,polybert,patent,ridge,2,303,0.251601143905371,2.771699532196946
M300_MPa,polybert,patent,ridge,3,303,0.2431671566172634,3.230337409801506
M300_MPa,polybert,patent,ridge,4,303,0.23108377291892246,3.3746143293522723
M300_MPa,polybert,patent,rf,0,304,0.3499072585792494,2.927391931257018
M300_MPa,polybert,patent,rf,1,304,0.20813727784637248,3.445664097243455
M300_MPa,polybert,patent,rf,2,303,0.5251585475821312,2.3040931715006896
M300_MPa,polybert,patent,rf,3,303,0.5426978287507874,2.4030572063284907
M300_MPa,polybert,patent,rf,4,303,0.35683319574153893,2.9048469229293152
M300_MPa,polybert,patent,hgb,0,304,0.012602176576198665,3.6030440626463505
M300_MPa,polybert,patent,hgb,1,304,0.2643743502211773,3.2695869677167515
M300_MPa,polybert,patent,hgb,2,303,0.471654208700226,2.3967096853292635
M300_MPa,polybert,patent,hgb,3,303,0.4325057711463933,2.6516767249309865
M300_MPa,polybert,patent,hgb,4,303,0.36305130990285006,2.7932397854866453
M300_MPa,tp,random,ridge,0,304,0.6469830494675818,2.014056701394572
